" Date","NCBA Close","NCBA Adj. Close","SCOM Close","SCOM Adj. Close","EQTY Close","EQTY Adj. Close","KCB Close","KCB Adj. Close","COOP Close","COOP Adj. Close","ABSA Close","ABSA Adj. Close","EABL Close","EABL Adj. Close","KEGN Close","KEGN Adj. Close","KNRE Close","KNRE Adj. Close","CENTUM Close","CENTUM Adj. Close"
01-24-2022,25.85,20.000145121495,37.3,33.25927109299,51.5,43.0390799762,44.95,40.53405085901,13.1,10.57131950264,11.8,9.41991886266,157.5,141.425862354,4.14,3.36623376609,2.27,1.940179628821,588.55,583.486206260135
01-25-2022,25.1,19.41987011797,36.55,32.590518993265,51.75,43.2480075489,44.55,40.17334740309,12.75,10.2888796686,11.8,9.41991886266,156.5,140.5279203708,4.11,3.3418407677850004,2.32,1.982914862936,589.75,584.675881644575
01-26-2022,25.5,19.72935011985,35.95,32.055517313485005,50,41.78551454,45,40.579138791,13.1,10.57131950264,11.8,9.41991886266,157.25,141.2013768582,4.09,3.325578768915,2.28,1.948726675644,,
01-27-2022,25.3,19.57461011891,35.9,32.01093384017,50.25,41.9944421127,44.85,40.44387499503,12.9,10.40992531176,11.8,9.41991886266,155,139.18100739599998,4.08,3.31744776948,2.22,1.897444394706,585.75,580.710297029775
01-28-2022,25.4,19.65198011938,36.2,32.27843468006,50.25,41.9944421127,44.8,40.39878706304,12.95,10.45027385948,11.75,9.380003952225,161,144.5686592952,4.05,3.293054771175,2.22,1.897444394706,584.1,579.07449337617
01-31-2022,25.6,19.80672012032,36.9,32.90260330647,50.5,42.2033696854,45,40.579138791,12.95,10.45027385948,11.85,9.459833773095,165,148.160427228,4.04,3.28492377174,2.26,1.931632581998,582.35,577.339550107195
02-01-2022,25.55,19.768035120085,37.5,33.43760498625,52.75,44.0837178397,45,40.579138791,12.95,10.45027385948,11.8,9.41991886266,165,148.160427228,4,3.252399774,2.27,1.940179628821,582.1,577.09170106877
02-02-2022,25.3,19.57461011891,37.6,33.52677193288,53,44.2926454124,46.25,41.70633709075,13,10.4906224072,11.85,9.459833773095,167,149.9563111944,4,3.252399774,2.27,1.940179628821,577.85,572.878267415545
02-03-2022,26,20.1162001222,37.8,33.70510582614,53,44.2926454124,47,42.3826560706,13.05,10.53097095492,11.8,9.41991886266,164.75,147.9359417322,4,3.252399774,2.23,1.905991441529,577.15,572.184290107955
02-04-2022,25.75,19.922775121025,38,33.8834397194,53,44.2926454124,47,42.3826560706,13,10.4906224072,11.9,9.49974868353,163.25,146.5890287574,4,3.252399774,2.22,1.897444394706,559.6,554.7852876105201
02-07-2022,25.55,19.768035120085,38.05,33.928023192715,53,44.2926454124,46.75,42.15721641065,12.95,10.45027385948,11.4,9.10059957918,162.75,146.14005776579998,3.99,3.2442687745650005,2.27,1.940179628821,562.35,557.511627033195
02-08-2022,25.5,19.72935011985,38.9,34.68594223907,52.75,44.0837178397,46.45,41.886688818710006,13,10.4906224072,11.4,9.10059957918,163,146.3645432616,4,3.252399774,2.22,1.897444394706,545.7,541.00488107409
02-09-2022,25.6,19.80672012032,38.3,34.15094055929,52.5,43.874790267,46,41.4808974308,12.9,10.40992531176,11.55,9.220344310485,163.5,146.8135142532,4,3.252399774,2.22,1.897444394706,549.15,544.425197804355
02-10-2022,25.35,19.613295119145,38.7,34.50760834581,53,44.2926454124,46,41.4808974308,12.85,10.36957676404,11.6,9.26025922092,163.5,146.8135142532,4,3.252399774,2.24,1.914538488352,549.15,544.425197804355
02-11-2022,25.25,19.535925118675,38.5,34.32927445255,53.25,44.501572985100005,45.3,40.84966638294,12.95,10.45027385948,11.65,9.300174131355,160,143.670717312,4,3.252399774,2.25,1.923085535175,545.1,540.41004338187
02-14-2022,25.5,19.72935011985,38.1,33.97260666603,53.5,44.7105005578,45.65,41.16528190687,13,10.4906224072,11.75,9.380003952225,160.5,144.1196883036,3.99,3.2442687745650005,2.24,1.914538488352,485.85,481.669821275145
02-15-2022,25.5,19.72935011985,37.35,33.303854566305,53.25,44.501572985100005,45.95,41.43580949881,13,10.4906224072,11.7,9.34008904179,160,143.670717312,3.99,3.2442687745650005,2.28,1.948726675644,483.15,478.993051660155
02-16-2022,25.25,19.535925118675,37.65,33.571355406195,53.25,44.501572985100005,45.8,41.30054570284,13.05,10.53097095492,11.7,9.34008904179,160.75,144.34417379939998,3.99,3.2442687745650005,2.26,1.931632581998,488.45,484.247451274765
02-17-2022,25.2,19.49724011844,37.95,33.838856246085,53,44.2926454124,45.9,41.39072156682,13.05,10.53097095492,11.75,9.380003952225,160,143.670717312,3.98,3.23613777513,2.28,1.948726675644,487.25,483.057775890325
